detuning_ghz,fluence_mw_us,mode,minimum_snr,initial_snr,final_depletion_accepted_snr,depletion_limited_frames,usable_frames,stopping_reason,post_sequence_loss,next_pulse_loss,n_gamma,reabsorption_fraction
0.84375,95,Faraday dual-port,9,28.6984469313,24.3558302272,3,3,depletion,0.296127009968,0.393183082081,0.0198866575499,0.0867489724436
0.84375,100,Faraday dark-field,9,14.4358516079,13.0033871902,2,2,depletion,0.208607626924,0.311504197789,0.0209333237368,0.0867489724436
0.84375,100,Faraday dual-port,9,29.4561196844,27.1414146845,2,2,depletion,0.208607626924,0.311504197789,0.0209333237368,0.0867489724436
0.84375,105,Faraday dark-field,9,14.8741247,13.3342280947,2,2,depletion,0.21893817612,0.326861498247,0.0219799899236,0.0867489724436
0.84375,105,Faraday dual-port,9,30.1948039314,27.7016471046,2,2,depletion,0.21893817612,0.326861498247,0.0219799899236,0.0867489724436
0.84375,110,Faraday dark-field,9,15.3014628362,13.6514793465,2,2,depletion,0.229259530951,0.342199039282,0.0230266561104,0.0867489724436
0.84375,110,Faraday dual-port,9,30.9158584811,28.2399191632,2,2,depletion,0.229259530951,0.342199039282,0.0230266561104,0.0867489724436
0.84375,115,Faraday dark-field,9,15.7185952251,13.9559251483,2,2,depletion,0.239571732189,0.357516947361,0.0240733222973,0.0867489724436
0.84375,115,Faraday dual-port,9,31.6204875285,28.7575045815,2,2,depletion,0.239571732189,0.357516947361,0.0240733222973,0.0867489724436
0.84375,120,Faraday dark-field,9,16.1261764465,14.2487494635,2,2,depletion,0.249874820279,0.3728153475,0.0251199884841,0.0867489724436
0.84375,120,Faraday dual-port,9,32.3097642042,29.2548373709,2,2,depletion,0.249874820279,0.3728153475,0.0251199884841,0.0867489724436
0.84375,125,Faraday dark-field,9,16.5247964664,14.5300438434,2,2,depletion,0.260168835348,0.388094363291,0.026166654671,0.0867489724436
0.84375,125,Faraday dual-port,9,32.9846497056,29.7337435821,2,2,depletion,0.260168835348,0.388094363291,0.026166654671,0.0867489724436
0.84375,130,Faraday dark-field,9,16.9149890183,14.800488573,2,2,depletion,0.270453817204,0.403354116924,0.0272133208578,0.0867489724436
0.84375,130,Faraday dual-port,9,33.6460089827,30.1949942805,2,2,depletion,0.270453817204,0.403354116924,0.0272133208578,0.0867489724436
0.84375,135,Faraday dark-field,9,17.2972386584,15.0609870633,2,2,depletion,0.280729805343,0.418594729207,0.0282599870446,0.0867489724436
0.84375,135,Faraday dual-port,9,34.2946237072,30.6388797181,2,2,depletion,0.280729805343,0.418594729207,0.0282599870446,0.0867489724436
0.84375,140,Faraday dark-field,9,17.6719867416,15.3114971694,2,2,depletion,0.290996838951,0.433816319594,0.0293066532315,0.0867489724436
0.84375,140,Faraday dual-port,9,34.9312030782,31.0669109854,2,2,depletion,0.290996838951,0.433816319594,0.0293066532315,0.0867489724436
0.84375,145,Faraday dark-field,9,18.0396365094,18.0396365094,1,1,depletion,0.151623403669,0.301254956908,0.0303533194183,0.0867489724436
0.84375,145,Faraday dual-port,9,35.556392891,35.556392891,1,1,depletion,0.151623403669,0.301254956908,0.0303533194183,0.0867489724436
0.84375,150,Faraday dark-field,9,18.4005574443,18.4005574443,1,1,depletion,0.156815515331,0.311504197789,0.0313999856052,0.0867489724436
0.84375,150,Faraday dual-port,9,36.1707831964,36.1707831964,1,1,depletion,0.156815515331,0.311504197789,0.0313999856052,0.0867489724436
0.84375,155,Faraday dark-field,9,18.7550890157,18.7550890157,1,1,depletion,0.162005265496,0.321744599873,0.032446651792,0.0867489724436
0.84375,155,Faraday dual-port,9,36.7749148115,36.7749148115,1,1,depletion,0.162005265496,0.321744599873,0.032446651792,0.0867489724436
0.84375,160,Faraday dark-field,9,19.103543915,19.103543915,1,1,depletion,0.167192659524,0.331976201142,0.0334933179788,0.0867489724436
0.84375,160,Faraday dual-port,9,37.3692848833,37.3692848833,1,1,depletion,0.167192659524,0.331976201142,0.0334933179788,0.0867489724436
0.84375,165,Faraday dark-field,9,19.4462108622,19.4462108622,1,1,depletion,0.172377702754,0.342199039282,0.0345399841657,0.0867489724436
0.84375,165,Faraday dual-port,9,37.9543516707,37.9543516707,1,1,depletion,0.172377702754,0.342199039282,0.0345399841657,0.0867489724436
0.84375,170,Faraday dark-field,9,19.7833570522,19.7833570522,1,1,depletion,0.177560400502,0.352413151694,0.0355866503525,0.0867489724436
0.84375,170,Faraday dual-port,9,38.5305386726,38.5305386726,1,1,depletion,0.177560400502,0.352413151694,0.0355866503525,0.0867489724436
0.84375,175,Faraday dark-field,9,20.1152302923,20.1152302923,1,1,depletion,0.182740758064,0.36261857549,0.0366333165394,0.0867489724436
0.84375,175,Faraday dual-port,9,39.0982382103,39.0982382103,1,1,depletion,0.182740758064,0.36261857549,0.0366333165394,0.0867489724436
0.84375,180,Faraday dark-field,9,20.4420608789,20.4420608789,1,1,depletion,0.187918780714,0.3728153475,0.0376799827262,0.0867489724436
0.84375,180,Faraday dual-port,9,39.657814548,39.657814548,1,1,depletion,0.187918780714,0.3728153475,0.0376799827262,0.0867489724436
0.9375,10,Faraday dark-field,9,2.17257817139,1.34539744854,36,0,image quality,0.298801621042,0.306992248109,0.00169569837984,0.0718072502507
0.9375,10,Faraday dual-port,9,7.89883834309,6.09985686353,36,0,image quality,0.298801621042,0.306992248109,0.00169569837984,0.0718072502507
0.9375,15,Faraday dark-field,9,3.09735915554,1.96719791734,24,0,image quality,0.298801621042,0.311085440867,0.00254354756976,0.0718072502507
0.9375,15,Faraday dual-port,9,9.90269197148,7.68040845195,24,10,image quality,0.298801621042,0.311085440867,0.00254354756976,0.0718072502507
0.9375,20,Faraday dark-field,9,3.94360769586,2.56100817745,18,0,image quality,0.298801621042,0.315177223022,0.00339139675968,0.0718072502507
0.9375,20,Faraday dual-port,9,11.5738615508,9.01543560983,18,18,depletion,0.298801621042,0.315177223022,0.00339139675968,0.0718072502507
0.9375,25,Faraday dark-field,9,4.7256413752,3.17697691506,14,0,image quality,0.29060532225,0.311085440867,0.0042392459496,0.0718072502507
0.9375,25,Faraday dual-port,9,13.036134654,10.2867792052,14,14,depletion,0.29060532225,0.311085440867,0.0042392459496,0.0718072502507
0.9375,30,Faraday dark-field,9,5.45416852143,3.67765330834,12,0,image quality,0.298801621042,0.323356565229,0.00508709513952,0.0718072502507
0.9375,30,Faraday dual-port,9,14.3519172487,11.2761738866,12,12,depletion,0.298801621042,0.323356565229,0.00508709513952,0.0718072502507
0.9375,35,Faraday dark-field,9,6.13740245696,4.26514570453,10,0,image quality,0.29060532225,0.319267597003,0.00593494432944,0.0718072502507
0.9375,35,Faraday dual-port,9,15.5577588802,12.3811489735,10,10,depletion,0.29060532225,0.319267597003,0.00593494432944,0.0718072502507
0.9375,40,Faraday dark-field,9,6.78177840922,4.71654632928,9,0,image quality,0.298801621042,0.331530294058,0.00678279351936,0.0718072502507
0.9375,40,Faraday dual-port,9,16.6772037317,13.2156355741,9,9,depletion,0.298801621042,0.331530294058,0.00678279351936,0.0718072502507
0.9375,45,Faraday dark-field,9,7.39243119371,5.21184380588,8,0,image quality,0.298801621042,0.335615059463,0.00763064270928,0.0718072502507
0.9375,45,Faraday dual-port,9,17.7264554359,14.1067920986,8,8,depletion,0.298801621042,0.335615059463,0.00763064270928,0.0718072502507
0.9375,50,Faraday dark-field,9,7.97352314649,5.76759421082,7,0,image quality,0.29060532225,0.331530294058,0.0084784918992,0.0718072502507
0.9375,50,Faraday dual-port,9,18.7172226386,15.0842024152,7,7,depletion,0.29060532225,0.331530294058,0.0084784918992,0.0718072502507
0.9375,55,Faraday dark-field,9,8.52847513597,6.39793662077,6,0,image quality,0.274195630601,0.319267597003,0.00932634108912,0.0718072502507
0.9375,55,Faraday dual-port,9,19.6582886904,16.1716632752,6,6,depletion,0.274195630601,0.319267597003,0.00932634108912,0.0718072502507
0.9375,60,Faraday dark-field,9,9.06013300534,6.61854728325,6,1,image quality,0.298801621042,0.3478609883,0.010174190279,0.0718072502507
0.9375,60,Faraday dual-port,9,20.5564409788,16.5662804197,6,6,depletion,0.298801621042,0.3478609883,0.010174190279,0.0718072502507
0.9375,65,Faraday dark-field,9,9.57088989515,7.36793455485,5,2,image quality,0.270089631943,0.323356565229,0.011022039469,0.0718072502507
0.9375,65,Faraday dual-port,9,21.417052499,17.8322838597,5,5,depletion,0.270089631943,0.323356565229,0.011022039469,0.0718072502507
0.9375,70,Faraday dark-field,9,10.0627777371,7.59196782393,5,2,image quality,0.29060532225,0.3478609883,0.0118698886589,0.0718072502507
0.9375,70,Faraday dual-port,9,22.2444624306,18.2246467985,5,5,depletion,0.29060532225,0.3478609883,0.0118698886589,0.0718072502507
0.9375,75,Faraday dark-field,9,10.5375367735,8.48916820916,4,3,image quality,0.249538058864,0.311085440867,0.0127177378488,0.0718072502507
0.9375,75,Faraday dual-port,9,23.0422345269,19.7188207288,4,4,depletion,0.249538058864,0.311085440867,0.0127177378488,0.0718072502507
0.9375,80,Faraday dark-field,9,10.9966691315,8.73562771173,4,3,image quality,0.26598219799,0.331530294058,0.0135655870387,0.0718072502507
0.9375,80,Faraday dual-port,9,23.8133380495,20.1430576822,4,4,depletion,0.26598219799,0.331530294058,0.0135655870387,0.0718072502507
0.9375,85,Faraday dark-field,9,11.4414806407,8.960845175,4,3,image quality,0.282403332041,0.351940183371,0.0144134362286,0.0718072502507
0.9375,85,Faraday dual-port,9,24.5602778421,20.5308949954,4,4,depletion,0.282403332041,0.351940183371,0.0144134362286,0.0718072502507
0.9375,90,Faraday dark-field,9,11.8731138547,9.16612475807,4,4,depletion,0.298801621042,0.372315405747,0.0152612854186,0.0718072502507
0.9375,90,Faraday dual-port,9,25.2851899825,20.8847046367,4,4,depletion,0.298801621042,0.372315405747,0.0152612854186,0.0718072502507
0.9375,95,Faraday dark-field,9,12.2925744041,10.3516183599,3,3,depletion,0.237189760032,0.315177223022,0.0161091346085,0.0718072502507
0.9375,95,Faraday dual-port,9,25.9899135243,22.8372538206,3,3,depletion,0.237189760032,0.315177223022,0.0161091346085,0.0718072502507
0.9375,100,Faraday dark-field,9,12.7007522324,10.6035783895,3,3,depletion,0.249538058864,0.331530294058,0.0169569837984,0.0718072502507
0.9375,100,Faraday dual-port,9,26.6760452454,23.2660684551,3,3,depletion,0.249538058864,0.331530294058,0.0169569837984,0.0718072502507
0.9375,105,Faraday dark-field,9,13.0984388622,10.8413122847,3,3,depletion,0.261873326229,0.3478609883,0.0178048329883,0.0718072502507
0.9375,105,Faraday dual-port,9,27.3449820769,23.6703182542,3,3,depletion,0.261873326229,0.3478609883,0.0178048329883,0.0718072502507
0.9375,110,Faraday dark-field,9,13.4863415491,11.0652996898,3,3,depletion,0.274195630601,0.364169458014,0.0186526821782,0.0718072502507
0.9375,110,Faraday dual-port,9,27.9979544363,24.0517362817,3,3,depletion,0.274195630601,0.364169458014,0.0186526821782,0.0718072502507
0.9375,115,Faraday dark-field,9,13.8650949725,11.2763698317,3,3,depletion,0.286505039808,0.380455853608,0.0195005313682,0.0718072502507
0.9375,115,Faraday dual-port,9,28.6360527403,24.4113635498,3,3,depletion,0.286505039808,0.380455853608,0.0195005313682,0.0718072502507
0.9375,120,Faraday dark-field,9,14.2352709617,11.4752009198,3,3,depletion,0.298801621042,0.396720323669,0.0203483805581,0.0718072502507
0.9375,120,Faraday dual-port,9,29.2602487281,24.7502251671,3,3,depletion,0.298801621042,0.396720323669,0.0203483805581,0.0718072502507
