fluence_mw_us,image_number,snr_3x3,condensate_atoms,condensate_fraction,temperature_k,pre_exposure_loss,post_exposure_loss,status,counted_as_usable
150,16,8.3713576835,7763.14446235,0.310525778494,2.11884444028e-07,0.689474221506,0.734098523332,both_limits,False
150,17,7.4116816879,6647.53691669,0.265901476668,2.12608815833e-07,0.734098523332,0.778571813436,both_limits,False
150,18,6.41239684178,5535.70466411,0.221428186564,2.13325858468e-07,0.778571813436,0.822896612926,both_limits,False
150,19,5.37565913458,4427.58467685,0.177103387074,2.14035742663e-07,0.822896612926,0.86707536815,both_limits,False
150,20,4.27914152728,3323.11579625,0.13292463185,2.14738632983e-07,0.86707536815,0.911110453851,both_limits,False
150,21,3.10788346851,2222.23865373,0.0888895461494,2.15434688122e-07,0.911110453851,0.955004176155,both_limits,False
150,22,1.80248309886,1124.89559611,0.0449958238446,2.16124061192e-07,0.955004176155,0.998758775405,both_limits,False
150,23,0.0963604666038,31.0306148766,0.00124122459507,2.16806899978e-07,0.998758775405,1,both_limits,False
150,24,0,0,0,2.17483347197e-07,1,1,both_limits,False
150,25,0,0,0,2.18153540726e-07,1,1,both_limits,False
