detuning_ghz,fluence_mw_us,mode,minimum_snr,initial_snr,final_depletion_accepted_snr,depletion_limited_frames,usable_frames,stopping_reason,post_sequence_loss,next_pulse_loss,n_gamma,reabsorption_fraction,kappa_F,numerical_aperture,read_noise_electrons_per_pixel_per_port
0.84375,95,Faraday dark-field,8,7.77879434582,6.43514336383,3,0,image quality,0.296127009968,0.393183082081,0.0198866575499,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,95,Faraday dual-port,8,15.205921165,12.895464149,3,3,depletion,0.296127009968,0.393183082081,0.0198866575499,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,100,Faraday dark-field,8,8.01041232974,7.29631579627,2,1,image quality,0.208607626924,0.311504197789,0.0209333237368,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,100,Faraday dual-port,8,15.6025844981,14.3687804036,2,2,depletion,0.208607626924,0.311504197789,0.0209333237368,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,105,Faraday dark-field,8,8.23590621568,7.46847365923,2,1,image quality,0.21893817612,0.326861498247,0.0219799899236,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,105,Faraday dual-port,8,15.9894110899,14.6610177793,2,2,depletion,0.21893817612,0.326861498247,0.0219799899236,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,110,Faraday dark-field,8,8.45572118218,7.63359973247,2,1,image quality,0.229259530951,0.342199039282,0.0230266561104,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,110,Faraday dual-port,8,16.3670983312,14.94183097,2,2,depletion,0.229259530951,0.342199039282,0.0230266561104,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,115,Faraday dark-field,8,8.67025214386,7.79211618199,2,1,image quality,0.239571732189,0.357516947361,0.0240733222973,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,115,Faraday dual-port,8,16.7362649113,15.2118776416,2,2,depletion,0.239571732189,0.357516947361,0.0240733222973,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,120,Faraday dark-field,8,8.87985123212,7.94462566225,2,1,image quality,0.249874820279,0.3728153475,0.0251199884841,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,120,Faraday dual-port,8,17.0974627173,15.4714336606,2,2,depletion,0.249874820279,0.3728153475,0.0251199884841,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,125,Faraday dark-field,8,9.08483391872,8.09121049986,2,2,depletion,0.260168835348,0.388094363291,0.026166654671,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,125,Faraday dual-port,8,17.4511865162,15.7213849944,2,2,depletion,0.260168835348,0.388094363291,0.026166654671,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,130,Faraday dark-field,8,9.28548406905,8.23222475871,2,2,depletion,0.270453817204,0.403354116924,0.0272133208578,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,130,Faraday dual-port,8,17.7978819033,15.962141887,2,2,depletion,0.270453817204,0.403354116924,0.0272133208578,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,135,Faraday dark-field,8,9.48205814315,8.36812240104,2,2,depletion,0.280729805343,0.418594729207,0.0282599870446,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,135,Faraday dual-port,8,18.1379518835,16.1938943062,2,2,depletion,0.280729805343,0.418594729207,0.0282599870446,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,140,Faraday dark-field,8,9.67478871253,8.49891125289,2,2,depletion,0.290996838951,0.433816319594,0.0293066532315,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,140,Faraday dual-port,8,18.4717623612,16.4173718389,2,2,depletion,0.290996838951,0.433816319594,0.0293066532315,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,145,Faraday dark-field,8,9.86388742307,9.86388742307,1,1,depletion,0.151623403669,0.301254956908,0.0303533194183,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,145,Faraday dual-port,8,18.7996467528,18.7996467528,1,1,depletion,0.151623403669,0.301254956908,0.0303533194183,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,150,Faraday dark-field,8,10.0495475062,10.0495475062,1,1,depletion,0.156815515331,0.311504197789,0.0313999856052,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,150,Faraday dual-port,8,19.1219098869,19.1219098869,1,1,depletion,0.156815515331,0.311504197789,0.0313999856052,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,155,Faraday dark-field,8,10.2319459192,10.2319459192,1,1,depletion,0.162005265496,0.321744599873,0.032446651792,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,155,Faraday dual-port,8,19.4388313226,19.4388313226,1,1,depletion,0.162005265496,0.321744599873,0.032446651792,0.0867489724436,-0.494505494505,0.13,0.7
