position_um,pci_intensity_y_line_incident_i0,pci_intensity_z_line_incident_i0,pci_signal_y_line_minus_plate_background,pci_signal_z_line_minus_plate_background
-20.01953125,0.9339367783,0.897450737385,0.0314367782997,-0.00504926261543
-19.921875,0.935080747841,0.896636594089,0.0325807478412,-0.00586340591093
-19.82421875,0.936238931341,0.895899961649,0.0337389313408,-0.00660003835139
-19.7265625,0.937410958178,0.895251963523,0.0349109581785,-0.00724803647661
-19.62890625,0.938596472394,0.894702556151,0.0360964723937,-0.00779744384914
-19.53125,0.939795132776,0.894260383408,0.0372951327764,-0.00823961659209
-19.43359375,0.941006612779,0.893932648092,0.0385066127791,-0.00856735190775
-19.3359375,0.942230600262,0.893725002044,0.0397306002618,-0.00877499795553
-19.23828125,0.94346679708,0.893641456315,0.0409667970798,-0.00885854368486
-19.140625,0.944714918528,0.89368431256,0.0422149185282,-0.00881568743962
-19.04296875,0.945974692657,0.893854116625,0.0434746926569,-0.00864588337475
-18.9453125,0.947245859471,0.894149635047,0.0447458594712,-0.00835036495261
-18.84765625,0.948528170033,0.894567854982,0.0460281700332,-0.00793214501801
-18.75,0.94982138548,0.895104007812,0.04732138548,-0.00739599218808
-18.65234375,0.951125275976,0.895751616463,0.0486252759763,-0.00674838353705
-18.5546875,0.952439619616,0.896502566191,0.0499396196158,-0.00599743380941
-18.45703125,0.95376420129,0.897347198342,0.0512642012896,-0.00515280165803
-18.359375,0.955098811537,0.898274426323,0.0525988115373,-0.00422557367722
-18.26171875,0.956443245396,0.899271872715,0.0539432453955,-0.00322812728483
-18.1640625,0.95779730126,0.900326026201,0.0552973012605,-0.00217397379924
-18.06640625,0.959160779778,0.901422416644,0.0566607797777,-0.00107758335552
-17.96875,0.960533482772,0.902545806396,0.0580334827723,4.58063960072e-05
-17.87109375,0.961915212233,0.903680395569,0.0594152122333,0.00118039556947
-17.7734375,0.963305769361,0.904810038777,0.0608057693613,0.00231003877739
-17.67578125,0.964704953691,0.905918470528,0.0622049536908,0.00341847052758
-17.578125,0.966112562295,0.906989536251,0.0636125622954,0.0044895362512
-17.48046875,0.967528389083,0.908007425725,0.0650283890828,0.00550742572465
-17.3828125,0.968952224185,0.908956905486,0.0664522241848,0.00645690548619
-17.28515625,0.970383853448,0.909823546738,0.0678838534477,0.00732354673812
-17.1875,0.971823058025,0.910593945175,0.0693230580252,0.00809394517495
-17.08984375,0.973269614075,0.911255929192,0.0707696140748,0.00875592919234
-16.9921875,0.974723292558,0.911798753016,0.0722232925582,0.00929875301577
-16.89453125,0.976183859144,0.912213271444,0.0736838591439,0.00971327144444
-16.796875,0.977651074209,0.912492093134,0.0751510742093,0.00999209313379
-16.69921875,0.979124692938,0.912629709639,0.076624692938,0.0101297096388
-16.6015625,0.980604465508,0.912622597804,0.0781044655078,0.0101225978036
-16.50390625,0.982090137362,0.912469293506,0.0795901373622,0.00996929350572
-16.40625,0.98358144956,0.912170435234,0.08108144956,0.00967043523398
-16.30859375,0.985078139192,0.911728776491,0.0825781391923,0.0092287764908
-16.2109375,0.986579939862,0.911149166545,0.0840799398619,0.00864916654466
-16.11328125,0.988086582213,0.910438499609,0.0855865822128,0.00793849960899
-16.015625,0.989597794503,0.909605633072,0.0870977945025,0.00710563307164
-15.91796875,0.991113303206,0.908661275933,0.0886133032062,0.00616127593318
-15.8203125,0.992632833644,0.907617849118,0.0901328336437,0.00511784911796
